Sentence,Scene Role,Function,Notes
Call the doctor <for></en/for/Purpose--Purpose> an appointment. ,Purpose,Purpose,
Go to the store <for></en/for/Purpose--Purpose> eggs. ,Purpose,Purpose,
This place is great <for></en/for/Purpose--Purpose> ping-pong. ,Purpose,Purpose,
This is a great place <for></en/for/Purpose--Purpose> ping-pong. ,Purpose,Purpose,
This cleaner is good <for></en/for/Purpose--Purpose> hardwood floors. ,Purpose,Purpose,
This restaurant is great <for></en/for/Purpose--Purpose> dinner. ,Purpose,Purpose,
I need another course <in_order_to></en/in_order_to/Purpose--Purpose> graduate.  ,Purpose,Purpose,(Purpose)
I need $20 <for></en/for/Purpose--Purpose> the show.  ,Purpose,Purpose,(Purpose)
I need $20 <to></en/to/Purpose--Purpose> attend the show.  ,Purpose,Purpose,(Purpose)
The dough takes an hour <to></en/to/Purpose--Purpose> rise.  ,Purpose,Purpose,(Purpose)
I walked to this restaurant <for></en/for/Purpose--Purpose> dinner.  ,Purpose,Purpose,[walking is not a part of dinner]
I bought food <for></en/for/Purpose--Purpose> dinner. ,Purpose,Purpose,
We saved money <for></en/for/Purpose--Purpose> our annual vacation. ,Purpose,Purpose,
The girl is standing <next_to></en/next_to/Locus--Locus> her mother. ,Locus,Locus,
The girl is <by></en/by/Locus--Locus> the pigeon. ,Locus,Locus,
I like to sing <at></en/at/Locus--Locus> the gym. ,Locus,Locus,
I like to sing <on></en/on/Locus--Locus> Main St.. ,Locus,Locus,
I like to sing <in></en/in/Locus--Locus> the shower. ,Locus,Locus,
The cat is <on_top_of></en/on_top_of/Locus--Locus> the dog. ,Locus,Locus,
The cat is <off></en/off/Locus--Locus> the dog. ,Locus,Locus,
The cat is <beside></en/beside/Locus--Locus> the dog. ,Locus,Locus,
The cat is <near></en/near/Locus--Locus> the dog. ,Locus,Locus,
There are flowers <between></en/between/Locus--Locus> the trees. ,Locus,Locus,
There are flowers <among></en/among/Locus--Locus> the trees. ,Locus,Locus,
"When you drive north, the river is <on></en/on/Locus--Locus> the right. ",Locus,Locus,
I read it <in></en/in/Locus--Locus> a book. ,Locus,Locus,
I read it <on></en/on/Locus--Locus> a website. ,Locus,Locus,
the data <in></en/in/Locus--Locus> the study ,Locus,Locus,
The charge is <on></en/on/Locus--Locus> my credit card. ,Locus,Locus,
We met <on></en/on/Locus--Locus> a trip to Paris. ,Locus,Locus,
The Dow is <at></en/at/Locus--Locus> a new high. ,Locus,Locus,
"The Dow is <at></en/at/Locus--Locus> 20,000. ",Locus,Locus,
"That’s <in></en/in/Locus--Locus> my price range. , ",Locus,Locus,
She was lying <on></en/on/Locus--Locus> her back. ,Locus,Locus,
She kissed me <on></en/on/Locus--Locus> the cheek. ,Locus,Locus,
I want to punch you <in></en/in/Locus--Locus> the face. ,Locus,Locus,
The cat is <inside></en/inside/Locus--Locus> the house. ,Locus,Locus,
The cat is <inside></en/inside/Locus--Locus>. ,Locus,Locus,
All passengers are <aboard></en/aboard/Locus--Locus> the ship. ,Locus,Locus,
All passengers are <aboard></en/aboard/Locus--Locus>. ,Locus,Locus,
The doctor is <in></en/in/Locus--Locus> the office. ,Locus,Locus,
The doctor is <out_of></en/out_of/Locus--Locus> the office. ,Locus,Locus,
The doctor is <away_from></en/away_from/Locus--Locus> the office. ,Locus,Locus,
The doctor is <in></en/in/Locus--Locus>. ,Locus,Locus,
The doctor is <out></en/out/Locus--Locus>. ,Locus,Locus,
The doctor is <away></en/away/Locus--Locus>. ,Locus,Locus,
They are <out></en/out/Locus--Locus> to eat. ,Locus,Locus,
Will you be <around></en/around/Locus--Locus> in the afternoon? ,Locus,Locus,
She’s the best doctor <around></en/around/Locus--Locus>! ,Locus,Locus,
The bird was flying <in></en/in/Locus--Locus> the house.  ,Locus,Locus,[The flying took place in the house.]
They were running <on></en/on/Locus--Locus> the street.  ,Locus,Locus,[The running took place on the street.]
Your heart rate is <at></en/at/Locus--Locus> 70 bpm. ,Locus,Locus,
restaurants <within></en/within/Locus--Locus> 10 miles  ,Locus,Locus,[physical location]
I will explain my argument <below></en/below/Locus--Locus>.  ,Locus,Locus,[discourse location]
The cable is attached <to></en/to/Locus--Goal> the wall.  ,Locus,Goal,(Locus↝Goal)
The cable connects <to></en/to/Locus--Goal> the wall.  ,Locus,Goal,(Locus↝Goal)
The road extends <to></en/to/Locus--Goal> the river.  ,Locus,Goal,(Locus↝Goal)
We are quite close <to></en/to/Locus--Goal> the river.  ,Locus,Goal,(Locus↝Goal)
The river is <to></en/to/Locus--Goal> the north.   ,Locus,Goal,(Locus↝Goal)|[cf. ]
Protesters were kept <from></en/from/Locus--Source> the area.   ,Locus,Source,(Locus↝Source)|[repeated: ]
Protesters were missing <from></en/from/Locus--Source> the area.   ,Locus,Source,(Locus↝Source)|[repeated: ]
I saw him <from></en/from/Locus--Source> the roof.  ,Locus,Source,(Locus↝Source)
Protesters were kept <from></en/from/Locus--Source> the area.  ,Locus,Source,(Locus↝Source)
Protesters were missing <from></en/from/Locus--Source> the area.  ,Locus,Source,(Locus↝Source)
We live <across_from></en/across_from/Locus--Source> you.  ,Locus,Source,(Locus↝Source)
We are quite far <from></en/from/Locus--Source> the river.  ,Locus,Source,(Locus↝Source)
The river is north <of></en/of/Locus--Source> Paris.  ,Locus,Source,(Locus↝Source)
A road runs <through></en/through/Locus--Path> my property.  ,Locus,Path,(Locus↝Path)
John saw Mary <through></en/through/Locus--Path> the window.  ,Locus,Path,(Locus↝Path)
John saw Mary <over></en/over/Locus--Path> the fence.  ,Locus,Path,(Locus↝Path)
We’re just <across></en/across/Locus--Path> the street fromLocus↝Source you.  ,Locus,Path,(Locus↝Path)
The kids ran <around></en/around/Locus--Path>. ,Locus,Path,
The kids ran <around></en/around/Locus--Path> the kitchen. ,Locus,Path,
The kids ran <throughout></en/throughout/Locus--Path> the kitchen. ,Locus,Path,
The kids ran <around></en/around/Locus--Path> in the kitchen. ,Locus,Path,
The mountains are 3 km <away></en/away/Locus--Direction>.  ,Locus,Direction,(Locus↝Direction)
The mountains are 3 km <apart></en/apart/Locus--Direction>.  ,Locus,Direction,(Locus↝Direction)
The mountains are 3 km <away_from></en/away_from/Locus--Direction> our house.  ,Locus,Direction,(Locus↝Direction)
The mountains are an hour <away></en/away/Locus--Direction>.  ,Locus,Direction,(Locus↝Direction)
The mountains are an hour <apart></en/apart/Locus--Direction>.  ,Locus,Direction,(Locus↝Direction)
They live  <out></en/out/Locus--Direction> pastLocus↝Path the highway.  ,Locus,Direction,(way)|(Locus↝Direction)
They live   <over></en/over/Locus--Direction> byLocus the school  ,Locus,Direction,(way)|(Locus↝Direction)
The girl is standing <with></en/with/Locus--Ancillary> her mother. ,Locus,Ancillary,
The girl is <with></en/with/Locus--Ancillary> the pigeon.  ,Locus,Ancillary,"(presumably, close to and interacting with it or paying special attention to it)"
I brought my backpack <with></en/with/Locus--Ancillary> me.  ,Locus,Ancillary,[emphasizes that the backpackfriend is located with the speaker]
I brought my friend <with></en/with/Locus--Ancillary> me.  ,Locus,Ancillary,[emphasizes that the backpackfriend is located with the speaker]
the room<'s></en/'s/Locus--Gestalt> 2 beds  ,Locus,Gestalt,(Locus↝Gestalt)
Links <between></en/between/Locus--Whole> science and industry are important.  ,Locus,Whole,(Locus↝Whole)
Famous castles <of></en/of/Locus--Whole> the valley  ,Locus,Whole,(Locus↝Whole)
The drugs put her <in></en/in/Goal--Locus> a coma.  ,Goal,Locus,(Goal↝Locus)
I put the lamp <next_to></en/next_to/Goal--Locus> the chair. ,Goal,Locus,
I’ll just hop <in></en/in/Goal--Locus> the shower. ,Goal,Locus,
I put my CV <on></en/on/Goal--Locus> the internet. ,Goal,Locus,
The cat jumped <on></en/on/Goal--Locus> my face. ,Goal,Locus,
The box fell <on></en/on/Goal--Locus> its side. ,Goal,Locus,
We arrived <at></en/at/Goal--Locus> the airport. ,Goal,Locus,
the paint that was sprayed <on></en/on/Goal--Locus> the wall  ,Goal,Locus,(Goal↝Locus)
The drugs put John <in></en/in/Goal--Locus> a coma.  ,Goal,Locus,(Goal↝Locus)
They chopped the wood <in></en/in/Goal--Locus> pieces.  ,Goal,Locus,(Goal↝Locus)
Add vanilla <to></en/to/Goal--Goal> the mixture. ,Goal,Goal,
Stir vanilla <into></en/into/Goal--Goal> the mixture. ,Goal,Goal,
I ran <to></en/to/Goal--Goal> the store. ,Goal,Goal,
The cat jumped <onto></en/onto/Goal--Goal> the ledge. ,Goal,Goal,
I touched my ear <to></en/to/Goal--Goal> the floor. ,Goal,Goal,
She sank <to></en/to/Goal--Goal> her knees. ,Goal,Goal,
Add vanilla extract <to></en/to/Goal--Goal> the mix. ,Goal,Goal,
Everyone contributed <to></en/to/Goal--Goal> the meeting. ,Goal,Goal,
The temperature is rising <to></en/to/Goal--Goal> a high of 40 degrees. ,Goal,Goal,
We have access <to></en/to/Goal--Goal> the library’s extensive collections. ,Goal,Goal,
She slipped <into></en/into/Goal--Goal> a coma. ,Goal,Goal,
We arrived at the airport only <to></en/to/Goal--Goal> discover that our flight had been canceled. ,Goal,Goal,
May you live <to></en/to/Goal--Goal> be 100! ,Goal,Goal,
I headed <to></en/to/Goal--Goal> work. ,Goal,Goal,
I went <to></en/to/Goal--Goal> UC Berkeley for the football game. ,Goal,Goal,
I go <to></en/to/Goal--Goal> Dr. Smith for my allergies. ,Goal,Goal,
the paint that was applied <to></en/to/Goal--Goal> the wall ,Goal,Goal,
the paint that was sprayed <onto></en/onto/Goal--Goal> the wall ,Goal,Goal,
John slipped <into></en/into/Goal--Goal> a coma. ,Goal,Goal,
Put the fork <with></en/with/Goal--Ancillary> the knives. ,Goal,Ancillary,
Detach the cable <from></en/from/Source--Source> the wall.  ,Source,Source,(Source)
John came <out_of></en/out_of/Source--Source> a coma.  ,Source,Source,(Source)
We learned a lot <from></en/from/Source--Source> that book.  ,Source,Source,(Source)
We learned a lot <from></en/from/Source--Source> that experience.  ,Source,Source,(Source)
The cat jumped <from></en/from/Source--Source> the box. ,Source,Source,
The cat jumped <out_of></en/out_of/Source--Source> the box. ,Source,Source,
The cat jumped <from></en/from/Source--Source> the ledge. ,Source,Source,
The cat jumped <off_of></en/off_of/Source--Source> the ledge. ,Source,Source,
The cat jumped <off></en/off/Source--Source> the ledge. ,Source,Source,
I got it <from></en/from/Source--Source> the internet. ,Source,Source,
I got it <off></en/off/Source--Source> the internet. ,Source,Source,
people <from></en/from/Source--Source> France ,Source,Source,
The temperature is rising <from></en/from/Source--Source> a low of 30 degrees. ,Source,Source,
I have arrived <from></en/from/Source--Source> work. ,Source,Source,
We discovered he was French <from></en/from/Source--Source> his attire.  ,Source,Source,[indication]
I made it <out_of></en/out_of/Source--Source> clay.  ,Source,Source,[material]
She awoke <from></en/from/Source--Source> a coma. ,Source,Source,
She came <out_of></en/out_of/Source--Source> a coma. ,Source,Source,
We are moving <off_of></en/off_of/Source--Source> that strategy. ,Source,Source,
I took the cat <from></en/from/Source--Source> behindLocus the couch. ,Source,Source,
"At the sound of the gun, the sprinters ran <away_from></en/away_from/Source--Source> the starting line.  ",Source,Source,(Source)
"At the sound of the gun, the sprinters ran <from></en/from/Source--Source> the starting line.  ",Source,Source,(Source)
"The cat was sitting on the ledge, then jumped <off></en/off/Source--Source>.  it’) ",Source,Source,(Source: implicit ‘(of)
"He was offered the deal, but walked <away></en/away/Source--Source>.  ",Source,Source,(Source: implicit ‘from it’)
I received great care <from></en/from/Source--Source> this doctor. ,Source,Source,
I got a second chance <from></en/from/Source--Source> her. ,Source,Source,
I need a favor <from></en/from/Source--Source> you. ,Source,Source,
"She loves teaching, and it shows <in></en/in/Manner--Locus> her smile. ",Manner,Locus,
He reacted <with></en/with/Manner--Manner> anger. ,Manner,Manner,
He reacted <in></en/in/Manner--Manner> anger. ,Manner,Manner,
He reacted angrily. ,Manner,Manner,
He reacted <with></en/with/Manner--Manner> nervous laughter.  ,Manner,Manner,[contrast: Means]
I made the decision <by></en/by/Manner--Manner> myself.  ,Manner,Manner,[see PP Idioms]
I made the decision <without></en/without/Manner--Manner> anyone else.  ,Manner,Manner,[see PP Idioms]
I made the decision <on></en/on/Manner--Manner>_ my _own.  ,Manner,Manner,[see PP Idioms]
The legislation was passed <on></en/on/Manner--Manner>_a_ bipartisan _basis.  ,Manner,Manner,(Manner)
I wrote the book <in></en/in/Manner--Manner> French. ,Manner,Manner,
They chatted <in></en/in/Manner--Manner> French. ,Manner,Manner,
We talked <in></en/in/Manner--Manner> person. ,Manner,Manner,
Your father smells <of></en/of/Manner--Stuff> elderberries.   ,Manner,Stuff,(Manner↝Stuff)|[also ]
The soup tastes <of></en/of/Manner--Stuff> elderberries.   ,Manner,Stuff,(Manner↝Stuff)|[also ]
You eat <like></en/like/Manner--ComparisonRef> a pig . ,Manner,ComparisonRef,(eats)
You smell <like></en/like/Manner--ComparisonRef> a pig. ,Manner,ComparisonRef,
I know what_ Steve looks _<like></en/like/Manner--ComparisonRef>.  ,Manner,ComparisonRef,(I know how Steve looks.)
What_ does her hair look _<like></en/like/Manner--ComparisonRef>?  ,Manner,ComparisonRef,(How does her hair look?)
What_ is the party _<like></en/like/Manner--ComparisonRef>?  ,Manner,ComparisonRef,(How is the party?)
You eat <like></en/like/Manner--ComparisonRef> a pig . ,Manner,ComparisonRef,(eats)
You smell <like></en/like/Manner--ComparisonRef> a pig. ,Manner,ComparisonRef,
Open the door <by></en/by/Means--Means> turning the knob. ,Means,Means,
They retaliated <by></en/by/Means--Means> shooting. ,Means,Means,
They retaliated <with></en/with/Means--Means> shootings. ,Means,Means,
The owners destroyed the company <by></en/by/Means--Means> growing it too fast. ,Means,Means,
Chlorophyll absorbs the light <by></en/by/Means--Means> transfer of electrons. ,Means,Means,
He responded to my kick <with></en/with/Means--Means> a punch.  ,Means,Means,(Means)
He responded to my accusation <with></en/with/Means--Means> a lawsuit.  ,Means,Means,(Means)
The bird flew <in></en/in/Path--Locus> the window. ,Path,Locus,
They dance <in></en/in/Path--Locus> a circle. ,Path,Locus,
A cool breeze blew <into></en/into/Path--Goal> the window.  ,Path,Goal,(Path↝Goal)
The bird flew <out></en/out/Path--Source> the window.  ,Path,Source,(Path↝Source)
Escape <through></en/through/Path--Path> the tunnel.  ,Path,Path,(Path)
The bird flew <over></en/over/Path--Path> the building. ,Path,Path,
The sun traveled <across></en/across/Path--Path> the sky. ,Path,Path,
Hot water is running <through></en/through/Path--Path> the pipes. ,Path,Path,
We flew to Rome <via></en/via/Path--Path> Paris. ,Path,Path,
I go <by></en/by/Path--Path> that coffee shop every morning. ,Path,Path,
The earth has completed another orbit <around></en/around/Path--Path> the sun. ,Path,Path,
Escape <by></en/by/Path--Instrument> tunnel.  ,Path,Instrument,(Path↝Instrument)
The bird flew <up></en/up/Direction--Direction>. ,Direction,Direction,
The bird flew <out></en/out/Direction--Direction>. ,Direction,Direction,
The bird flew <away></en/away/Direction--Direction>. ,Direction,Direction,
The bird flew <off></en/off/Direction--Direction>. ,Direction,Direction,
I walked <over></en/over/Direction--Direction> to where they were sitting. ,Direction,Direction,
The price shot <up></en/up/Direction--Direction>. ,Direction,Direction,
The camera is aimed <at></en/at/Direction--Direction> the subject. ,Direction,Direction,
The toddler kicked <at></en/at/Direction--Direction> the wall. ,Direction,Direction,
I headed <towards></en/toward/Direction--Direction> work but never made it there.  ,Direction,Direction,(Direction)
I headed <for></en/for/Direction--Direction> work but never made it there.  ,Direction,Direction,(Direction)
I headed #to work but never made it there.  ,Direction,Direction,(Direction)
"The bikers ride parallel to the river for several miles, then  head east, <away_from></en/away_from/Direction--Direction> the river.   ",Direction,Direction,(Direction: bikers are never at the river)
"The bikers ride parallel to the river for several miles, then  head east, #from the river.   ",Direction,Direction,(Direction: bikers are never at the river)
The bird flew <away></en/away/Direction--Direction>.  ,Direction,Direction,(Direction: vaguely away from the viewpoint)
The bird flew <off></en/off/Direction--Direction>.  ,Direction,Direction,(Direction: vaguely away from the viewpoint)
We ran <for></en/for/Extent--Extent> miles. ,Extent,Extent,
The price shot up <by></en/by/Extent--Extent> 10%. ,Extent,Extent,
I helped <as></en/as/Extent--Extent> much as I could.  ,Extent,Extent,(Extent)
I’m not tired <at></en/at/Extent--Extent>_all. ,Extent,Extent,
The food is mediocre <at></en/at/Extent--Extent>_best. ,Extent,Extent,
You should <at></en/at/Extent--Extent>_least try. ,Extent,Extent,
It is the worst <by></en/by/Extent--Extent>_far. ,Extent,Extent,
We’ve finished <for></en/for/Extent--Extent>_the_most_part. ,Extent,Extent,
It was a success <in></en/in/Extent--Extent>_every_respect. ,Extent,Extent,
It was a success <on></en/on/Extent--Extent>_all_levels. ,Extent,Extent,
I hate it when they repeat a song <to></en/to/Extent--Extent>_death. ,Extent,Extent,
an increase <of></en/of/Extent--Identity> 10%  ,Extent,Identity,(Extent↝Identity)
The plans are <in></en/in/Temporal--Locus> progress. ,Temporal,Locus,
The plans are <on></en/on/Temporal--Locus> hold. ,Temporal,Locus,
The plans are <in></en/in/Temporal--Locus> limbo. ,Temporal,Locus,
The party tomorrow is <on></en/on/Temporal--Locus>.  ,Temporal,Locus,(= still scheduled to happen in the future)
The party tomorrow is <off></en/off/Temporal--Locus>.  ,Temporal,Locus,(= canceled)
The party is <over></en/over/Temporal--Temporal>.  ,Temporal,Temporal,(= complete)
I stayed <as></en/as/Duration--Extent> long as I could.  ,Duration,Extent,(Duration↝Extent)
I walked <for></en/for/Duration--Duration> 20 minutes. ,Duration,Duration,
I walked #in 20 minutes. ,Duration,Duration,
I walked toGoal the store <in></en/in/Duration--Duration> 20 minutes.  ,Duration,Duration,[see ]
I walked toGoal the store <within></en/within/Duration--Duration> 20 minutes.  ,Duration,Duration,[see ]
I walked toGoal the store #for 20 minutes.  ,Duration,Duration,[see ]
I walked a mile <in></en/in/Duration--Duration> 20 minutes. ,Duration,Duration,
I walked a mile <within></en/within/Duration--Duration> 20 minutes. ,Duration,Duration,
I walked a mile #for 20 minutes. ,Duration,Duration,
I mowed the lawn <for></en/for/Duration--Duration> an hour. ,Duration,Duration,
I mowed the lawn <in></en/in/Duration--Duration> an hour. ,Duration,Duration,
I mowed the lawn <within></en/within/Duration--Duration> an hour. ,Duration,Duration,
I walked <for></en/for/Duration--Duration> the entire race.  ,Duration,Duration,[the entire time of the race]
I walked <throughout></en/throughout/Duration--Duration> the night. ,Duration,Duration,
I walked <through></en/through/Duration--Duration> the night. ,Duration,Duration,
I walked well <into></en/into/Duration--Duration> the night. ,Duration,Duration,
The deal was negotiated <over></en/over/Duration--Duration>  a year. ,Duration,Duration,(the course of)
John went to the store <for></en/for/Duration--Duration> an hour.  ,Duration,Duration,"[he spent an hour at the store, not an hour going there]"
John left the party <for></en/for/Duration--Duration> an hour.  ,Duration,Duration,[he spent an hour away from the party before returning]
I lifted weights <for></en/for/Duration--Duration> an hour.  ,Duration,Duration,[many individual lifting acts collectively lasting an hour]
I walked to the store <for></en/for/Duration--Duration> a year.  ,Duration,Duration,"[over the course of a year, habitually went to the store by walking]"
I reached the summit <in></en/in/Duration--Duration> 3 days.  ,Duration,Duration,[it took not more than 3 days]
I had climbed 1000 feet <in></en/in/Duration--Duration>  3 days. ,Duration,Duration,[a total of]
I fixed the engine <in></en/in/Duration--Duration> 3 days.  ,Duration,Duration,[it took not more than 3 days]
I haven’t eaten <in></en/in/Duration--Duration> hours.    ,Duration,Duration,[hours have passed since the last time I ate]|( haven’t you eaten?)
I haven’t eaten <for></en/for/Duration--Duration> hours.    ,Duration,Duration,[hours have passed since the last time I ate]|( haven’t you eaten?)
I haven’t eaten  hours.    ,Duration,Duration,[hours have passed since the last time I ate]|(#When haven’t you eaten?)
The deal was negotiated <over></en/over/Duration--Duration>  a year.  ,Duration,Duration,(the course of)|(Duration)
I see them <on></en/on/Frequency--Manner>_a_ daily _basis.   ,Frequency,Manner,(Frequency↝Manner)|[cf. ]
I see them <on></en/on/Frequency--Manner>_a_ daily _basis.   ,Frequency,Manner,(Frequency↝Manner)|[also ]
Guests were arriving <at></en/at/Frequency--Frequency> a steady clip. ,Frequency,Frequency,
The risk becomes worse <by></en/by/Frequency--Frequency> the day. ,Frequency,Frequency,
I see them <on></en/on/Frequency--Frequency>_occasion.  ,Frequency,Frequency,"[contrast on ... occasion, ]"
I see them <from></en/from/Frequency--Frequency>_time_to_time.  ,Frequency,Frequency,"[contrast on ... occasion, ]"
I keep getting the same message <over></en/over/Frequency--Frequency> and over again. ,Frequency,Frequency,
The camcorder failed <for></en/for/Frequency--Frequency> the third time.  ,Frequency,Frequency,(Frequency)
I skipped lunch <for></en/for/Frequency--Frequency> three days inCharacteristic↝Locus a row.  ,Frequency,Frequency,[see ]
I skipped lunch <for></en/for/Frequency--Frequency> the third day inCharacteristic↝Locus a row.  ,Frequency,Frequency,[see ]
I arrived <back></en/back/Interval--Interval> inTime June.  ,Interval,Interval,(Interval)
The alarm rang at a quarter <to></en/to/Time--Goal> 8.  ,Time,Goal,(Time↝Goal)
He arrived in town <over></en/over/Time--Duration> the weekend.  ,Time,Duration,(Time↝Duration)
He arrived in town <over></en/over/Time--Duration> the weekend.  ,Time,Duration,(Time↝Duration)
I arrived a year <ago></en/ago/Time--Interval>.     ,Time,Interval,(Time↝Interval)|[points backwards from the present: before now]
I arrived a year <back></en/back/Time--Interval>.  ,Time,Interval,(Time↝Interval)
"The game started at 7:00, but I arrived <after></en/after/Time--Interval> 20 minutes.  ",Time,Interval,(Time↝Interval)
"The game started at 7:00, but I arrived <within></en/within/Time--Interval> 20 minutes.  ",Time,Interval,(Time↝Interval)
I reached the summit <in></en/in/Time--Interval> 3 days.  ,Time,Interval,"[= 3 days later, I reached the summit.]"
I was at the summit <within></en/within/Time--Interval> 3 days.  ,Time,Interval,"[= 3 days later, I was at the summit.]"
I finished climbing <in></en/in/Time--Interval> 3 days.  ,Time,Interval,"[= 3 days later, I finished climbing.]"
They had the engine fixed <in></en/in/Time--Interval> 3 days.  ,Time,Interval,"[= 3 days later, they had the engine fixed.]"
We left the party <after></en/after/Time--Interval> an hour.   ,Time,Interval,[an hour after it started]|(Time↝Interval)
We left the party an hour <ago></en/ago/Time--Interval>.   ,Time,Interval,[an hour before now]|(Time↝Interval)
The show will end <at></en/at/Time--Time> 2 p.m. ,Time,Time,
"To beat the crowds, I will arrive a while <before></en/before/Time--Time> . ",Time,Time,(it starts)
"To beat the crowds, I will arrive a while <beforehand></en/beforehand/Time--Time>. ",Time,Time,
"The game started at 7:00, but I arrived 20 minutes <after></en/after/Time--Time> . ",Time,Time,(it started)
"The game started at 7:00, but I arrived 20 minutes <afterward></en/afterward/Time--Time>. ",Time,Time,
The party is <in></en/in/Time--Time> January. → What month is the party in?  ,Time,Time,[Or: When is the party?]
The show will start <at></en/at/Time--Time> 10 a.m. ,Time,Time,
